yc_id,cluster
"5,702,137",1
"8,512,306",1
"9,393,636",1
"13,128,182",1
"13,784,744",1
"17,601,543",1
"4,102,753",0
"6,050,454",0
"7,544,882",0
"13,403,169",1
"12,239,614",1
"13,051,871",0
"13,921,265",0
"14,057,114",0
"2,538,873",0
"3,255,361",1
"6,356,966",0
"7,692,328",0
"13,877,822",0
"14,467,776",1
"17,599,978",1
"7,029,718",1
"9,705,443",1
"12,933,027",0
"12,937,560",0
"13,125,671",1
"13,146,793",1
"4,049,502",1
"4,639,747",1
"7,536,155",0
"9,276,884",2
"7,330,484",1
"10,293,881",0
"1,165,087",1
"15,735,372",1
"17,500,179",1
"4,211,114",1
"11,390,641",1
"14,012,937",0
"14,162,073",1
"2,625,133",1
"11,239,281",0
"12,244,988",1
"14,703,683",1
"7,804,590",0
"5,508,250",1
"10,741,988",0
"13,838,274",1
"7,350,963",0
"8,497,077",1
"3,711,364",1
"5,000,922",1
"10,531,520",1
"13,943,071",0
"4,806,162",1
"7,712,659",0
"9,992,723",2
"10,907,064",0
"11,341,254",1
"11,844,746",0
"3,213,618",1
"11,389,736",1
"12,231,069",1
"13,060,650",1
"14,029,026",0
"3,942,577",1
"4,904,275",0
"5,941,608",1
"4,139,951",0
"9,448,349",2
"3,231,069",0
